"","State","Year","Event","Value"
"1","AK",1950,"Fatalities",NA
"2","AL",1950,"Fatalities",0
"3","AR",1950,"Fatalities",2
"4","AZ",1950,"Fatalities",NA
"5","CA",1950,"Fatalities",NA
"6","CO",1950,"Fatalities",0
"7","CT",1950,"Fatalities",0
"8","DE",1950,"Fatalities",NA
"9","FL",1950,"Fatalities",0
"10","GA",1950,"Fatalities",0
"11","HI",1950,"Fatalities",NA
"12","IA",1950,"Fatalities",0
"13","ID",1950,"Fatalities",NA
"14","IL",1950,"Fatalities",3
"15","IN",1950,"Fatalities",0
"16","KS",1950,"Fatalities",1
"17","KY",1950,"Fatalities",0
"18","LA",1950,"Fatalities",29
"19","MA",1950,"Fatalities",NA
"20","MD",1950,"Fatalities",0
"21","ME",1950,"Fatalities",NA
"22","MI",1950,"Fatalities",NA
"23","MN",1950,"Fatalities",0
"24","MO",1950,"Fatalities",0
"25","MS",1950,"Fatalities",6
"26","MT",1950,"Fatalities",NA
"27","NC",1950,"Fatalities",0
"28","ND",1950,"Fatalities",0
"29","NE",1950,"Fatalities",0
"30","NH",1950,"Fatalities",NA
"31","NJ",1950,"Fatalities",NA
"32","NM",1950,"Fatalities",0
"33","NV",1950,"Fatalities",NA
"34","NY",1950,"Fatalities",NA
"35","OH",1950,"Fatalities",0
"36","OK",1950,"Fatalities",6
"37","OR",1950,"Fatalities",NA
"38","PA",1950,"Fatalities",0
"39","RI",1950,"Fatalities",NA
"40","SC",1950,"Fatalities",0
"41","SD",1950,"Fatalities",0
"42","TN",1950,"Fatalities",9
"43","TX",1950,"Fatalities",11
"44","UT",1950,"Fatalities",NA
"45","VA",1950,"Fatalities",NA
"46","VT",1950,"Fatalities",NA
"47","WA",1950,"Fatalities",NA
"48","WI",1950,"Fatalities",3
"49","WV",1950,"Fatalities",0
"50","WY",1950,"Fatalities",0
"51","AK",1951,"Fatalities",NA
"52","AL",1951,"Fatalities",0
"53","AR",1951,"Fatalities",0
"54","AZ",1951,"Fatalities",NA
"55","CA",1951,"Fatalities",0
"56","CO",1951,"Fatalities",0
"57","CT",1951,"Fatalities",0
"58","DE",1951,"Fatalities",NA
"59","FL",1951,"Fatalities",3
"60","GA",1951,"Fatalities",0
"61","HI",1951,"Fatalities",NA
"62","IA",1951,"Fatalities",0
"63","ID",1951,"Fatalities",NA
